Thématique;Sous-thème;mot;noyau;genre;mot en chinois;phrases françaises;phrases chinoises;tag;
faire;faire;réaliser;1;v.;??;Il a tout réalisé de A à Z.;??????A?Z?;réaliser/tout;
faire;faire;réalisation;1;f.;??;C'est une réalisation de très grande qualité.;????????????;réalisation/grand/qualité;
faire;faire;accomplir;1;v.;??/??;Ce qu'il a accompli est exceptionnel.;????????;accomplir/exceptionnel;
faire;faire;exécuter;1;v.;??;Ils ont exécuté ses ordres.;??????????;exécuter/ordre;
faire;faire;établir;1;v.;??;Il a établi un nouveau record.;??????????;établir/record;
faire;faire;constituer;1;v.;??  /  ??  /  ??;Il a constitué une épargne solide;??????????? ;constituer/épargne/solide;
faire;faire;produire*;1;v.;??;Il produisent des moteurs pour bateaux.;??????????;produire/moteur/bateau;
faire;faire;production*;1;f.;??;La production de l'entreprise a doublé en un an.;????????????;production/entreprise/doubler;
faire;faire;fournir;1;v.;??;Je lui ai fourni toutes les raisons de se défendre. ;?????????????;fournir/raison/défendre;
faire;faire;fourniture;;f.;???;Il a écrit la liste des fournitures nécessaires.;?????????????;écrire/fourniture/nécessaire;
faire;activité;activité;0;f.;??;Il a une activité très variée.;????????;activité/variée;
faire;activité;occupation;1;f.;??/??;Quelle est occupation préférée le dimanche ?;?????????;occupation/préférer/dimanche;
faire;activité;occupé, e;1;adj.;??;Il est assez occupé en ce moment.;????????;occupé/moment;
faire;activité;occuper (s');;v.;??;Je me suis occupé de ses grands-parents pendant des années.;????????????;occuper(s')/grands-parents/année;
faire;activité;pratique;1;;??;Elle a une bonne pratique de ce métier.;??????????;pratique/métier;
faire;activité;expérience*;1;f.;??;As-tu une expérience de ce métier ?;?????????????;expérience/métier;
faire;activité;essayer;1;v.;?? / ?? / ??;Je ne suis pas prêt d’essayer une seconde fois.;????????????;prêt/essayer/seconde/fois;
faire;activité;essai;1;m.;??;Au troisième essai, j'arrête.;??????????;essai/arrêter;
faire;activité;préparer;1;v.;??;Il s’est préparé à cette rencontre.;????????;sepréparer/rencontre;
faire;activité;préparation;1;f.;??;Sans préparation, cela ne sert à rien.;?????????????;préparation/servir;
faire;activité;affaire;1;f.pl;??;Les affaires qu'il a lancées sont bien engagées.;???????????;affaire/lancer/engager;
faire;activité;processus;1;m.;??;Le processus a été interrompu.;???????;processus;
faire;activité;phase;1;f.;??;On est entré dans la troisième phase du projet.;????????????;entrer/phase/projet;
faire;activité;prêt;1;adj.;????;Es-tu prêt à travailler avec nous ?;????????????;prêt/travailler;
faire;tâche;fonction;0;;??;Quelle est sa fonction dans cette entreprise ?;???????????;fonction/entreprise;
faire;tâche;tâche;1;f.;??;Quelle est sa tâche principale ?;??????????;tâche/principale;
faire;tâche;test;1;;??;C'est un test pour voir si ça marche.;???????????????;test/voir/marche;
faire;tâche;utiliser;1;v.;??;Comment utilises-tu cette machine ?;?????????;utiliser/machine;
faire;tâche;gaspiller;1;;??;Il ne faut pas gaspiller l'énergie.;????????;gaspiller/énergie;
faire;tâche;servir;1;v.;??;Ne vous dérangez pas, je vais vous servir.;????????????;déranger/servir;
faire;tâche;service;1;f.;??;Il lui a rendu un grand service.;????????;rendre/grand/service;
faire;devoir;devoir;0;v.;??;On doit écouter avant de parler.;?????????;devoir/écouter/parler;
